iter	Passed	Remaining
399	46538	69807
400	46654	69691
401	46766	69568
402	46882	69451
403	46993	69327
404	47108	69209
405	47222	69088
406	47336	68969
407	47448	68846
408	47562	68727
409	47675	68605
410	47789	68486
411	47902	68365
412	48018	68249
413	48128	68123
414	48243	68005
415	48356	67885
416	48470	67765
417	48581	67641
418	48697	67524
419	48807	67400
420	48925	67287
421	49036	67164
422	49153	67048
423	49264	66925
424	49379	66808
425	49491	66686
426	49605	66566
427	49730	66461
428	49855	66358
429	49966	66234
430	50080	66115
431	50191	65991
432	50307	65875
433	50419	65754
434	50534	65637
435	50645	65514
436	50760	65396
437	50872	65275
438	50990	65161
439	51100	65037
440	51216	64920
441	51328	64799
442	51441	64679
443	51553	64558
444	51666	64438
445	51779	64317
446	51897	64204
447	52010	64084
448	52132	63975
449	52245	63855
450	52360	63738
451	52471	63616
452	52586	63499
453	52696	63375
454	52813	63260
455	52925	63139
456	53040	63022
457	53151	62899
458	53264	62780
459	53373	62656
460	53489	62539
461	53599	62416
462	53718	62303
463	53830	62184
464	53945	62066
465	54058	61946
466	54173	61829
467	54286	61710
468	54401	61593
469	54514	61473
470	54627	61353
471	54738	61232
472	54855	61118
473	54970	61001
474	55084	60882
475	55194	60760
476	55310	60644
477	55421	60522
478	55537	60406
479	55650	60287
480	55765	60171
481	55880	60054
482	55995	59937
483	56107	59817
484	56222	59700
485	56332	59577
486	56443	59456
487	56557	59338
488	56669	59218
489	56781	59098
490	56897	58983
491	57010	58864
492	57124	58746
493	57236	58627
494	57350	58509
495	57462	58388
496	57577	58272
497	57690	58153
498	57804	58036
499	57922	57922
500	58043	57811
501	58159	57696
502	58285	57589
503	58406	57479
504	58528	57369
505	58641	57251
506	58760	57137
507	58871	57017
508	58987	56901
509	59100	56783
510	59220	56670
511	59331	56550
512	59445	56432
513	59557	56312
514	59671	56195
515	59784	56076
516	59903	55964
517	60023	55852
518	60139	55736
519	60253	55618
520	60370	55503
521	60481	55383
522	60599	55269
523	60712	55150
524	60826	55033
525	60941	54917
526	61064	54807
527	61179	54690
528	61303	54582
529	61417	54464
530	61538	54353
531	61652	54235
532	61770	54121
533	61885	54005
534	62000	53888
535	62112	53768
536	62226	53651
537	62339	53533
538	62454	53416
539	62566	53297
540	62682	53181
541	62791	53060
542	62907	52944
543	63020	52825
544	63134	52708
545	63247	52590
546	63362	52473
547	63475	52355
548	63591	52239
549	63704	52121
550	63822	52007
551	63934	51888
552	64046	51770
553	64161	51653
554	64274	51535
555	64384	51415
556	64500	51299
557	64612	51180
558	64728	51064
559	64839	50945
560	64956	50830
561	65068	50711
562	65183	50595
563	65294	50475
564	65411	50360
565	65522	50241
566	65638	50125
567	65751	50008
568	65865	49890
569	65978	49773
570	66095	49658
571	66211	49542
572	66329	49428
573	66441	49309
574	66556	49194
575	66668	49075
576	66783	48959
577	66894	48839
578	67008	48722
579	67118	48603
580	67232	48485
581	67340	48364
582	67451	48245
583	67567	48130
584	67683	48014
585	67794	47895
586	67909	47779
587	68019	47659
588	68137	47545
589	68248	47427
590	68363	47310
591	68473	47191
592	68590	47076
593	68706	46961
594	68819	46843
595	68931	46725
596	69049	46611
597	69162	46493
598	69279	46378
599	69391	46261
600	69505	46144
601	69618	46026
602	69733	45910
603	69843	45791
604	69959	45676
605	70070	45557
606	70187	45442
607	70300	45325
608	70420	45212
609	70531	45093
610	70644	44976
611	70757	44859
612	70903	44762
613	71023	44650
614	71140	44534
615	71251	44416
616	71369	44302
617	71482	44185
618	71599	44070
619	71720	43957
620	71833	43840
621	71943	43721
622	72059	43605
623	72171	43487
624	72287	43372
625	72398	43254
626	72514	43138
627	72627	43021
628	72743	42905
629	72855	42788
630	72968	42671
631	73079	42552
632	73195	42437
633	73307	42319
634	73429	42207
635	73545	42092
636	73658	41974
637	73769	41856
638	73884	41740
639	73995	41622
640	74110	41506
641	74222	41389
642	74337	41272
643	74451	41156
644	74564	41039
645	74675	40921
646	74794	40807
647	74907	40690
648	75025	40576
649	75140	40460
650	75260	40346
651	75373	40229
652	75489	40114
653	75598	39995
654	75713	39879
655	75824	39761
656	75939	39645
657	76054	39529
658	76169	39414
659	76283	39297
660	76401	39183
661	76512	39065
662	76627	38949
663	76737	38831
664	76855	38716
665	76965	38598
666	77081	38483
667	77192	38365
668	77315	38253
669	77427	38135
670	77540	38019
671	77650	37901
672	77769	37787
673	77882	37670
674	77996	37553
675	78106	37435
676	78221	37319
677	78333	37202
678	78447	37086
679	78558	36968
680	78673	36853
681	78785	36735
682	78900	36620
683	79011	36502
684	79126	36386
685	79238	36269
686	79357	36155
687	79473	36040
688	79586	35923
689	79699	35807
690	79813	35690
691	79923	35572
692	80040	35458
693	80151	35340
694	80265	35224
695	80378	35107
696	80497	34994
697	80612	34878
698	80725	34761
699	80836	34644
700	80951	34528
701	81062	34411
702	81176	34295
703	81286	34177
704	81403	34062
705	81517	33946
706	81632	33830
707	81744	33713
708	81860	33598
709	81972	33481
710	82087	33365
711	82197	33248
712	82315	33133
713	82426	33016
714	82541	32901
715	82660	32787
716	82779	32672
717	82892	32556
718	83008	32441
719	83120	32324
720	83234	32208
721	83347	32092
722	83461	31976
723	83571	31858
724	83687	31743
725	83797	31626
726	83916	31511
727	84027	31394
728	84144	31280
729	84259	31164
730	84374	31048
731	84488	30932
732	84603	30817
733	84714	30700
734	84831	30585
735	84946	30469
736	85059	30353
737	85171	30237
738	85286	30121
739	85398	30004
740	85513	29889
741	85625	29772
742	85741	29657
743	85856	29541
744	85970	29426
745	86082	29309
746	86198	29194
747	86310	29077
748	86425	28962
749	86536	28845
750	86654	28731
751	86766	28614
752	86881	28498
753	86993	28382
754	87108	28266
755	87222	28151
756	87338	28036
757	87448	27918
758	87565	27804
759	87678	27687
760	87794	27572
761	87907	27456
762	88030	27343
763	88144	27227
764	88250	27109
765	88358	26992
766	88474	26876
767	88585	26760
768	88702	26645
769	88816	26529
770	88939	26416
771	89051	26300
772	89168	26185
773	89279	26068
774	89395	25953
775	89506	25836
776	89621	25721
777	89734	25605
778	89849	25490
779	89962	25374
780	90077	25258
781	90191	25142
782	90322	25031
783	90438	24916
784	90555	24801
785	90667	24685
786	90782	24569
787	90894	24453
788	91008	24338
789	91126	24223
790	91243	24108
791	91358	23993
792	91474	23877
793	91588	23762
794	91703	23646
795	91813	23530
796	91927	23414
797	92038	23298
798	92155	23183
799	92268	23067
800	92381	22951
801	92491	22834
802	92605	22718
803	92716	22602
804	92834	22487
805	92947	22372
806	93061	22256
807	93172	22140
808	93287	22024
809	93399	21908
810	93513	21793
811	93626	21677
812	93743	21562
813	93857	21446
814	93977	21332
815	94090	21216
816	94207	21101
817	94319	20985
818	94438	20870
819	94552	20755
820	94666	20639
821	94780	20524
822	94895	20408
823	95007	20292
824	95119	20176
825	95231	20060
826	95347	19945
827	95482	19834
828	95597	19719
829	95715	19604
830	95829	19488
831	95939	19372
832	96056	19257
833	96168	19141
834	96284	19026
835	96396	18910
836	96512	18795
837	96626	18679
838	96741	18564
839	96853	18448
840	96969	18333
841	97081	18217
842	97197	18102
843	97309	17986
844	97424	17870
845	97536	17754
846	97651	17639
847	97763	17523
848	97878	17408
849	97988	17292
850	98105	17177
851	98215	17060
852	98331	16945
853	98445	16830
854	98564	16715
855	98679	16600
856	98799	16485
857	98912	16370
858	99029	16255
859	99140	16139
860	99254	16023
861	99364	15907
862	99479	15792
863	99590	15676
864	99708	15561
865	99820	15445
866	99935	15330
867	100047	15214
868	100161	15099
869	100273	14983
870	100387	14867
871	100499	14752
872	100614	14636
873	100724	14520
874	100843	14406
875	100956	14290
876	101072	14175
877	101183	14059
878	101296	13944
879	101405	13828
880	101522	13713
881	101633	13597
882	101748	13482
883	101861	13366
884	101976	13251
885	102086	13135
886	102204	13020
887	102317	12904
888	102431	12789
889	102542	12673
890	102661	12558
891	102771	12443
892	102884	12327
893	102996	12212
894	103111	12096
895	103223	11981
896	103338	11866
897	103458	11751
898	103576	11636
899	103692	11521
900	103807	11406
901	103919	11290
902	104034	11175
903	104147	11059
904	104262	10944
905	104373	10829
906	104490	10714
907	104610	10599
908	104731	10484
909	104847	10369
910	104963	10254
911	105079	10139
912	105197	10024
913	105309	9908
914	105424	9793
915	105536	9678
916	105654	9563
917	105766	9447
918	105882	9332
919	105994	9216
920	106108	9101
921	106219	8986
922	106334	8870
923	106444	8755
924	106559	8639
925	106671	8524
926	106788	8409
927	106900	8294
928	107012	8178
929	107124	8063
930	107242	7948
931	107357	7832
932	107469	7717
933	107584	7602
934	107706	7487
935	107821	7372
936	107937	7257
937	108047	7141
938	108163	7026
939	108276	6911
940	108389	6795
941	108498	6680
942	108616	6565
943	108727	6449
944	108841	6334
945	108951	6219
946	109071	6104
947	109183	5988
948	109316	5874
949	109443	5760
950	109556	5644
951	109666	5529
952	109782	5414
953	109894	5298
954	110010	5183
955	110122	5068
956	110236	4953
957	110347	4837
958	110463	4722
959	110573	4607
960	110689	4492
961	110801	4376
962	110917	4261
963	111027	4146
964	111142	4031
965	111255	3915
966	111373	3800
967	111484	3685
968	111602	3570
969	111714	3455
970	111830	3339
971	111944	3224
972	112055	3109
973	112166	2994
974	112284	2879
975	112396	2763
976	112508	2648
977	112620	2533
978	112734	2418
979	112850	2303
980	112968	2187
981	113087	2072
982	113206	1957
983	113319	1842
984	113433	1727
985	113542	1612
986	113662	1497
987	113782	1381
988	113912	1266
989	114037	1151
990	114156	1036
991	114291	921
992	114415	806
993	114536	691
994	114660	576
995	114774	460
996	114894	345
997	115022	230
998	115138	115
999	115251	0
